names,Dice,IoU,Prec,Rec
303.mat,0.6772342995169082,0.5119835653960283,0.9982198486871384,0.5124514507653644
304.mat,0.0,0.0,0.0,0.0
305.mat,0.9191007094812494,0.8503111414201688,0.9949132256134051,0.8540239726027398
306.mat,0.0,0.0,0.0,0.0
307.mat,0.8780766484170436,0.7826529746244589,0.9992415212915808,0.7831182065217391
308.mat,0.0,0.0,0.0,0.0
309.mat,0.8984409407205144,0.8156085079162002,0.8636748518204911,0.9361233480176211
310.mat,0.9284841075794621,0.8665145464917284,0.9790525298098615,0.8828828828828829
311.mat,0.9219370203757608,0.8551791850760923,0.9994262765347103,0.8555992141453831
312.mat,0.9557507727346674,0.9152515968219349,0.9939096599560142,0.920413598621338
313.mat,0.8862698880377136,0.7957671957671958,0.9982300884955753,0.796891557753444
314.mat,0.7956487956487956,0.6606451612903226,1.0,0.6606451612903226
315.mat,0.0,0.0,0.0,0.0
316.mat,0.8503740648379052,0.7396963123644251,0.9876900796524257,0.7465790914066777
317.mat,0.925531914893617,0.8613861386138614,0.9443690637720489,0.9074315514993481
318.mat,0.9228377065111759,0.8567304222302418,0.9130769230769231,0.9328094302554027
319.mat,0.8481650275845527,0.736359850062474,0.9833147942157954,0.7456769295655842
320.mat,0.794778825235678,0.6594464500601684,0.7930535455861071,0.7965116279069767
321.mat,0.8930817610062893,0.8068181818181818,0.9401266551525619,0.8505208333333333
322.mat,0.6569200779727096,0.48911465892597966,0.980791618160652,0.49384525205158264
323.mat,0.593942154406741,0.42241658568189183,0.6159659896079358,0.5734388742304309
324.mat,0.8207420652659813,0.6959818043972706,0.7733782645324347,0.8742857142857143
325.mat,0.8600439077936334,0.7544535387578238,0.976932668329177,0.7681372549019608
326.mat,0.6830028034472018,0.5186061179438662,0.9969687784177024,0.5194251421351863
327.mat,0.1926536731634183,0.10659477395271671,1.0,0.10659477395271671
328.mat,0.0,0.0,0.0,0.0
329.mat,0.7269672855879753,0.5710515349354077,0.9987852283770651,0.5714484292465943
330.mat,0.7908725749935903,0.6540853830930167,1.0,0.6540853830930167
331.mat,0.6389333333333334,0.46943573667711597,1.0,0.46943573667711597
332.mat,0.7446019629225736,0.5931202223766504,0.9959159859976663,0.5945663531870429
333.mat,0.38927911275415894,0.24168005508377324,0.24643107886730634,0.9261213720316622
334.mat,0.9275256222547584,0.8648464163822526,0.9174511223750905,0.9378238341968912
335.mat,0.0,0.0,0.0,0.0
336.mat,0.8378837361201829,0.720998201438849,0.9941103533787973,0.724091216979002
337.mat,0.8587138417403777,0.7524088814411395,0.9774149659863945,0.7657215945427415
338.mat,0.9611507253503812,0.925207100591716,0.9719045251118846,0.9506322957198443
339.mat,0.8991804840861445,0.8168282548476454,0.8720887245841035,0.9280094413847364
340.mat,0.0,0.0,0.0,0.0
341.mat,0.6897321428571429,0.5264054514480409,1.0,0.5264054514480409
342.mat,0.955564451561249,0.914909927175163,0.9642496465360533,0.9470343185875818
343.mat,0.950022758306782,0.9048031905670193,0.9824891734136697,0.9196334155798379
344.mat,0.0,0.0,0.0,0.0
345.mat,0.3871688477497606,0.24005541262616267,1.0,0.24005541262616267
346.mat,0.8678336980306346,0.766524932354078,0.9775696327335469,0.7802478851072201
